カテゴリー,分類群,和名,学名
絶滅危惧IA類（CR）,維管束植物,イツキカナワラビ,Arachniodes cantilenae
絶滅危惧IA類（CR）,維管束植物,ツルダカナワラビ,Arachniodes chinensis
絶滅危惧IA類（CR）,維管束植物,ヒュウガカナワラビ,Arachniodes hiugana
絶滅危惧IA類（CR）,維管束植物,アタシカカナワラビ,Arachniodes oohorae
絶滅危惧IA類（CR）,維管束植物,ヒゴカナワラビ,Arachniodes simulans
絶滅危惧IA類（CR）,維管束植物,クマヤブソテツ,Cyrtomium macrophyllum var. microindusium
絶滅危惧IA類（CR）,維管束植物,ムカシベニシダ,Dryopteris anadroma (in schedule)
絶滅危惧IA類（CR）,維管束植物,クマイワヘゴ,Dryopteris anthracinisquama
絶滅危惧IA類（CR）,維管束植物,エビノオオクジャク,Dryopteris ebinoensis
絶滅危惧IA類（CR）,維管束植物,ホソバヌカイタチシダ,Dryopteris gymnosora var. angustata
絶滅危惧IA類（CR）,維管束植物,キリシマイワヘゴ,Dryopteris hangchowensis
絶滅危惧IA類（CR）,維管束植物,ムラサキベニシダ,Dryopteris labordei var. purpurascens
絶滅危惧IA類（CR）,維管束植物,オオミネイワヘゴ,Dryopteris lunanensis
絶滅危惧IA類（CR）,維管束植物,マルバヌカイタチシダモドキ,Dryopteris tsugiwoi
絶滅危惧IA類（CR）,維管束植物,ツツイイワヘゴ,Dryopteris tsutsuiana
絶滅危惧IA類（CR）,維管束植物,オオヤグルマシダ,Dryopteris wallichiana
絶滅危惧IA類（CR）,維管束植物,オキナワアツイタ,Elaphoglossum callifolium
絶滅危惧IA類（CR）,維管束植物,スルガイノデ,Polystichum fibrillosopaleaceum var. marginale
絶滅危惧IA類（CR）,維管束植物,キュウシュウイノデ,Polystichum grandifrons
絶滅危惧IA類（CR）,維管束植物,タカネシダ,Polystichum lachenense
絶滅危惧IA類（CR）,維管束植物,アマミデンダ,Polystichum obae
絶滅危惧IA類（CR）,維管束植物,サクラジマイノデ,Polystichum piceopaleaceum
絶滅危惧IA類（CR）,維管束植物,シムライノデ,Polystichum shimurae
絶滅危惧IA類（CR）,維管束植物,ツルキジノオ,Lomariopsis spectabilis
絶滅危惧IA類（CR）,維管束植物,ワラビツナギ,Arthropteris palisotii
絶滅危惧IA類（CR）,維管束植物,コモチナナバケシダ,Tectaria fauriei
絶滅危惧IA類（CR）,維管束植物,ナガバウスバシダ,Tectaria kusukusensis
絶滅危惧IA類（CR）,維管束植物,カザリシダ,Aglaomorpha coronans
絶滅危惧IA類（CR）,維管束植物,ハカマウラボシ,Drynaria roosii
絶滅危惧IA類（CR）,維管束植物,アマミアオネカズラ,Goniophlebium amamianum
絶滅危惧IA類（CR）,維管束植物,オニマメヅタ,Lemmaphyllum pyriforme
絶滅危惧IA類（CR）,維管束植物,ウロコノキシノブ,Lepisorus oligolepidus
絶滅危惧IA類（CR）,維管束植物,オキノクリハラン,Leptochilus decurrens
絶滅危惧IA類（CR）,維管束植物,ヒロハヒメウラボシ,Oreogrammitis nipponica
絶滅危惧IA類（CR）,維管束植物,ヒトツバマメヅタ,Pyrrosia adnascens
絶滅危惧IA類（CR）,維管束植物,タイワンビロードシダ,Pyrrosia linearifolia var. heterolepis
絶滅危惧IB類（EN）,維管束植物,エゾノタカネヤナギ,Salix nakamurana subsp. yezoalpina
絶滅危惧IB類（EN）,維管束植物,チチブミネバリ,Betula chichibuensis
絶滅危惧IB類（EN）,維管束植物,ヤチカンバ,Betula ovalifolia
絶滅危惧IB類（EN）,維管束植物,ランダイミズ,Elatostema platyphyllum
絶滅危惧IB類（EN）,維管束植物,チョクザキミズ,Lecanthus peduncularis
絶滅危惧IB類（EN）,維管束植物,アラゲサンショウソウ,Pellionia brevifolia
絶滅危惧IB類（EN）,維管束植物,ムニンビャクダン,Santalum boninense
絶滅危惧IB類（EN）,維管束植物,アラゲタデ,Persicaria attenuata subsp. pulchra
絶滅危惧IB類（EN）,維管束植物,キブネダイオウ,Rumex nepalensis var. andreanus
絶滅危惧IB類（EN）,維管束植物,コバノミミナグサ,Cerastium furcatum var. ibukiense
絶滅危惧IB類（EN）,維管束植物,ハイツメクサ,Minuartia biflora
絶滅危惧IB類（EN）,維管束植物,カムイビランジ,Silene hidaka-alpina
絶滅危惧IB類（EN）,維管束植物,チシママンテマ,Silene repens var. latifolia
絶滅危惧IB類（EN）,維管束植物,カラフトマンテマ,Silene repens var. repens
絶滅危惧IB類（EN）,維管束植物,ヤクシマサワハコベ,Stellaria diversiflora var. yakumontana
絶滅危惧IB類（EN）,維管束植物,エゾハコベ,Stellaria humifusa
絶滅危惧IB類（EN）,維管束植物,エゾイワツメクサ,Stellaria pterosperma
絶滅危惧IB類（EN）,維管束植物,テリハコブガシ,Machilus pseudokobu
絶滅危惧IB類（EN）,維管束植物,ダイトウシロダモ,Neolitsea sericea var. argentea
絶滅危惧IB類（EN）,維管束植物,ハナカズラ,Aconitum ciliare
絶滅危惧IB類（EN）,維管束植物,シレトコトリカブト,Aconitum misaoanum
絶滅危惧IB類（EN）,維管束植物,ダイセツトリカブト,Aconitum yamazakii
絶滅危惧IB類（EN）,維管束植物,シコクイチゲ,Anemone sikokiana
絶滅危惧IB類（EN）,維管束植物,シコクハンショウヅル,Clematis obvallata var. shikokiana
絶滅危惧IB類（EN）,維管束植物,コウヤシロカネソウ,Dichocarpum numajirianum
絶滅危惧IB類（EN）,維管束植物,ツクモグサ,Pulsatilla nipponica
絶滅危惧IB類（EN）,維管束植物,タカネキンポウゲ,Ranunculus altaicus subsp. shinanoalpinus
絶滅危惧IB類（EN）,維管束植物,キタダケキンポウゲ,Ranunculus kitadakeanus
絶滅危惧IB類（EN）,維管束植物,オオイチョウバイカモ,Ranunculus nipponicus var. major
絶滅危惧IB類（EN）,維管束植物,ヒメバイカモ,Ranunculus trichophyllus var. kazusensis
絶滅危惧IB類（EN）,維管束植物,チトセバイカモ,Ranunculus yezoensis
絶滅危惧IB類（EN）,維管束植物,マンセンカラマツ,Thalictrum aquilegiifolium var. sibiricum
絶滅危惧IB類（EN）,維管束植物,イシヅチカラマツ,Thalictrum minus var. yamamotoi
絶滅危惧IB類（EN）,維管束植物,ヒレフリカラマツ,Thalictrum toyamae
絶滅危惧IB類（EN）,維管束植物,ムラサキカラマツ,Thalictrum uchiyamae
絶滅危惧IB類（EN）,維管束植物,クロミサンザシ,Crataegus chlorosarca
絶滅危惧IB類（EN）,維管束植物,ヤクシマシロバナヘビイチゴ,Fragaria nipponica var. yakusimensis
絶滅危惧IB類（EN）,維管束植物,ノカイドウ,Malus spontanea
絶滅危惧IB類（EN）,維管束植物,ユウバリキンバイ,Potentilla matsumurae var. yuparensis
絶滅危惧IB類（EN）,維管束植物,ヤブザクラ,Prunus hisauchiana
絶滅危惧IB類（EN）,維管束植物,ブコウマメザクラ,Prunus incisa var. bukosanensis
絶滅危惧IB類（EN）,維管束植物,キリタチヤマザクラ,Prunus sargentii var. akimotoi (in schedule)
絶滅危惧IB類（EN）,維管束植物,マメナシ,Pyrus calleryana
絶滅危惧IB類（EN）,維管束植物,ミチノクナシ,Pyrus ussuriensis var. ussuriensis
絶滅危惧IB類（EN）,維管束植物,シロヤマブキ,Rhodotypos scandens
絶滅危惧IB類（EN）,維管束植物,ゴショイチゴ,Rubus chingii
絶滅危惧IB類（EN）,維管束植物,タイワンウラジロイチゴ,Rubus swinhoei
絶滅危惧IB類（EN）,維管束植物,エゾノトウウチソウ,Sanguisorba hakusanensis var. japonensis
絶滅危惧IB類（EN）,維管束植物,ナンブトウウチソウ,Sanguisorba obtusa
絶滅危惧IB類（EN）,維管束植物,オキナワスナゴショウ,Peperomia okinawensis
絶滅危惧IB類（EN）,維管束植物,ミヤビカンアオイ,Asarum celsum
絶滅危惧IB類（EN）,維管束植物,カギガタアオイ,Asarum curvistigma
絶滅危惧IB類（EN）,維管束植物,ハツシマカンアオイ,Asarum hatsushimae
絶滅危惧IB類（EN）,維管束植物,コウヤカンアオイ,Asarum kooyanum var. kooyanum
絶滅危惧IB類（EN）,維管束植物,ムラクモアオイ,Asarum kumageanum var. satakeanum
絶滅危惧IB類（EN）,維管束植物,オオバカンアオイ,Asarum lutchuense
絶滅危惧IB類（EN）,維管束植物,コトウカンアオイ,Asarum majale
絶滅危惧IB類（EN）,維管束植物,アソサイシン,Asarum misandrum
絶滅危惧IB類（EN）,維管束植物,ナゼカンアオイ,Asarum nazeanum
絶滅危惧IB類（EN）,維管束植物,ホシザキカンアオイ,Asarum sakawanum var. stellatum
絶滅危惧IB類（EN）,維管束植物,マルミカンアオイ,Asarum subglobosum
絶滅危惧IB類（EN）,維管束植物,サンコカンアオイ,Asarum trigynum
絶滅危惧IB類（EN）,維管束植物,カケロマカンアオイ,Asarum trinacriforme
絶滅危惧IB類（EN）,維管束植物,ヤエヤマカンアオイ,Asarum yaeyamense
絶滅危惧IB類（EN）,維管束植物,ムニンヒサカキ,Eurya boninensis
絶滅危惧IB類（EN）,維管束植物,アゼオトギリ,Hypericum oliganthum
絶滅危惧IB類（EN）,維管束植物,ツキヌキオトギリ,Hypericum sampsonii
絶滅危惧IB類（EN）,維管束植物,エゾオオケマン,Corydalis gigantea
絶滅危惧IB類（EN）,維管束植物,ツルキケマン,Corydalis ochotensis
絶滅危惧IB類（EN）,維管束植物,リシリヒナゲシ,Papaver fauriei
絶滅危惧IB類（EN）,維管束植物,タチスズシロソウ,Arabidopsis kamchatica subsp. kawasakiana
絶滅危惧IB類（EN）,維管束植物,リシリハタザオ,Arabidopsis umezawana
絶滅危惧IB類（EN）,維管束植物,オオマルバコンロンソウ,Cardamine arakiana
絶滅危惧IB類（EN）,維管束植物,ハナタネツケバナ,Cardamine pratensis
絶滅危惧IB類（EN）,維管束植物,ミヤウチソウ,Cardamine trifida
絶滅危惧IB類（EN）,維管束植物,ナンブイヌナズナ,Draba japonica
絶滅危惧IB類（EN）,維管束植物,キタダケナズナ,Draba kitadakensis
絶滅危惧IB類（EN）,維管束植物,ヤツガタケナズナ,Draba oiana
絶滅危惧IB類（EN）,維管束植物,モイワナズナ,Draba sachalinensis
絶滅危惧IB類（EN）,維管束植物,トガクシナズナ,Draba sakuraii
絶滅危惧IB類（EN）,維管束植物,シロウマナズナ,Draba shiroumana
絶滅危惧IB類（EN）,維管束植物,ハリナズナ,Subularia aquatica
絶滅危惧IB類（EN）,維管束植物,タカネグンバイ,Thlaspi japonicum
絶滅危惧IB類（EN）,維管束植物,トキワマンサク,Loropetalum chinense
絶滅危惧IB類（EN）,維管束植物,ミセバヤ,Hylotelephium sieboldii var. sieboldii
絶滅危惧IB類（EN）,維管束植物,オオチチッパベンケイ,Hylotelephium sordidum var. oishii
絶滅危惧IB類（EN）,維管束植物,ヒメキリンソウ,Phedimus sikokianus
絶滅危惧IB類（EN）,維管束植物,ムニンタイトゴメ,Sedum japonicum subsp. boninense
絶滅危惧IB類（EN）,維管束植物,モミジバショウマ,Astilbe platyphylla
絶滅危惧IB類（EN）,維管束植物,アマミクサアジサイ,Cardiandra amamiohsimensis
絶滅危惧IB類（EN）,維管束植物,クモマユキノシタ,Saxifraga laciniata
絶滅危惧IB類（EN）,維管束植物,チシマイワブキ,Saxifraga nelsoniana var. reniformis
絶滅危惧IB類（EN）,維管束植物,ヤエヤマヒメウツギ,Deutzia yaeyamensis
絶滅危惧IB類（EN）,維管束植物,オオミノトベラ,Pittosporum boninense var. chichijimense
絶滅危惧IB類（EN）,維管束植物,オオバネムノキ,Albizia kalkora
絶滅危惧IB類（EN）,維管束植物,ヤエヤマネムノキ,Albizia retusa
絶滅危惧IB類（EN）,維管束植物,カラフトモメンヅル,Astragalus schelichovii
絶滅危惧IB類（EN）,維管束植物,トカチオウギ,Astragalus tokachiensis
絶滅危惧IB類（EN）,維管束植物,カリバオウギ,Astragalus yamamotoi
絶滅危惧IB類（EN）,維管束植物,ガランピネムチャ,Cassia mimosoides
絶滅危惧IB類（EN）,維管束植物,カラフトゲンゲ,Hedysarum hedysaroides
絶滅危惧IB類（EN）,維管束植物,コシキジマハギ,Lespedeza argyrophylla
絶滅危惧IB類（EN）,維管束植物,リシリゲンゲ,Oxytropis campestris subsp. rishiriensis
絶滅危惧IB類（EN）,維管束植物,エゾオヤマノエンドウ,Oxytropis japonica var. sericea
絶滅危惧IB類（EN）,維管束植物,レブンソウ,Oxytropis megalantha
絶滅危惧IB類（EN）,維管束植物,マシケゲンゲ,Oxytropis shokanbetsuensis
絶滅危惧IB類（EN）,維管束植物,ウチワツナギ,Phyllodium pulchellum
絶滅危惧IB類（EN）,維管束植物,イソフジ,Sophora tomentosa
絶滅危惧IB類（EN）,維管束植物,オオバフジボグサ,Uraria lagopodioides
絶滅危惧IB類（EN）,維管束植物,ヒメツルアズキ,Vigna nakashimae
絶滅危惧IB類（EN）,維管束植物,アカササゲ,Vigna vexillata var. tsusimensis
絶滅危惧IB類（EN）,維管束植物,カワゴケソウ,Cladopus doianus
絶滅危惧IB類（EN）,維管束植物,ヤクシマカワゴロモ,Hydrobryum puncticulatum
絶滅危惧IB類（EN）,維管束植物,ハマビシ,Tribulus terrestris
絶滅危惧IB類（EN）,維管束植物,テリハニシキソウ,Chamaesyce hirta var. glaberrima
絶滅危惧IB類（EN）,維管束植物,アソタイゲキ,Euphorbia pekinensis subsp. asoensis
絶滅危惧IB類（EN）,維管束植物,ハナコミカンボク,Phyllanthus liukiuensis
絶滅危惧IB類（EN）,維管束植物,アツバシロテツ,Melicope grisea var. crassifolia
絶滅危惧IB類（EN）,維管束植物,ヒナノキンチャク,Polygala tatarinowii
絶滅危惧IB類（EN）,維管束植物,チャンチンモドキ,Choerospondias axillaris
絶滅危惧IB類（EN）,維管束植物,シバタカエデ,Acer miyabei var. shibatae
絶滅危惧IB類（EN）,維管束植物,タイシャクイタヤ,Acer pictum subsp. taishakuense
絶滅危惧IB類（EN）,維管束植物,アオカズラ,Sabia japonica
絶滅危惧IB類（EN）,維管束植物,エンシュウツリフネソウ,Impatiens hypophylla var. microhypophylla
絶滅危惧IB類（EN）,維管束植物,ムニンモチ,Ilex mertensii var. beecheyi
絶滅危惧IB類（EN）,維管束植物,ヒゼンマユミ,Euonymus chibae
絶滅危惧IB類（EN）,維管束植物,クサミズキ,Nothapodytes nimmonianus
絶滅危惧IB類（EN）,維管束植物,ヤエヤマハマナツメ,Colubrina asiatica
絶滅危惧IB類（EN）,維管束植物,ミヤマハンモドキ,Rhamnus ishidae
絶滅危惧IB類（EN）,維管束植物,シラガブドウ,Vitis amurensis
絶滅危惧IB類（EN）,維管束植物,ナガバコバンモチ,Elaeocarpus multiflorus
絶滅危惧IB類（EN）,維管束植物,ツクシボダイジュ,Tilia mandshurica var. rufovillosa
絶滅危惧IB類（EN）,維管束植物,カラピンラセンソウ,Triumfetta semitriloba
絶滅危惧IB類（EN）,維管束植物,ツチビノキ,Daphnimorpha capitellata
絶滅危惧IB類（EN）,維管束植物,カツラギグミ,Elaeagnus takeshitae
絶滅危惧IB類（EN）,維管束植物,ヤクシマグミ,Elaeagnus yakusimensis
絶滅危惧IB類（EN）,維管束植物,ジンヨウキスミレ,Viola alliariifolia
絶滅危惧IB類（EN）,維管束植物,タニマスミレ,Viola epipsiloides
絶滅危惧IB類（EN）,維管束植物,タデスミレ,Viola thibaudieri
絶滅危惧IB類（EN）,維管束植物,オキナワスミレ,Viola utchinensis
絶滅危惧IB類（EN）,維管束植物,ナガバキブシ,Stachyurus macrocarpus var. macrocarpus
絶滅危惧IB類（EN）,維管束植物,ハザクラキブシ,Stachyurus macrocarpus var. prunifolius
絶滅危惧IB類（EN）,維管束植物,ムニンカラスウリ,Trichosanthes ovigera var. boninensis
絶滅危惧IB類（EN）,維管束植物,ホザキキカシグサ,Rotala rotundifolia
絶滅危惧IB類（EN）,維管束植物,ムニンフトモモ,Metrosideros boninensis
絶滅危惧IB類（EN）,維管束植物,ハハジマノボタン,Melastoma tetramerum var. pentapetalum
絶滅危惧IB類（EN）,維管束植物,ナガバアリノトウグサ,Haloragis chinensis
絶滅危惧IB類（EN）,維管束植物,クマノダケ,Angelica shikokiana var. mayebarana
絶滅危惧IB類（EN）,維管束植物,ウバタケニンジン,Angelica ubatakensis
絶滅危惧IB類（EN）,維管束植物,レブンサイコ,Bupleurum ajanense
絶滅危惧IB類（EN）,維管束植物,ヤクシマセントウソウ,Chamaele decumbens var. micrantha
絶滅危惧IB類（EN）,維管束植物,ツルギハナウド,Heracleum sphondylium var. tsurugisanense
絶滅危惧IB類（EN）,維管束植物,カサモチ,Nothosmyrnium japonicum
絶滅危惧IB類（EN）,維管束植物,ツクシボウフウ,Pimpinella thellungiana var. gustavohegiana
絶滅危惧IB類（EN）,維管束植物,ヤマナシウマノミツバ,Sanicula kaiensis
絶滅危惧IB類（EN）,維管束植物,ツシマノダケ,Tilingia tsusimensis
絶滅危惧IB類（EN）,維管束植物,エゾイチヤクソウ,Pyrola minor
絶滅危惧IB類（EN）,維管束植物,ヤチツツジ,Chamaedaphne calyculata
絶滅危惧IB類（EN）,維管束植物,ヤクシマヨウラクツツジ,Menziesia yakushimensis
絶滅危惧IB類（EN）,維管束植物,アマギツツジ,Rhododendron amagianum
絶滅危惧IB類（EN）,維管束植物,アマクサミツバツツジ,Rhododendron amakusaense
絶滅危惧IB類（EN）,維管束植物,ヒダカミツバツツジ,Rhododendron dilatatum var. boreale
絶滅危惧IB類（EN）,維管束植物,オオスミミツバツツジ,Rhododendron mayebarae var. ohsumiense
絶滅危惧IB類（EN）,維管束植物,トキワバイカツツジ,Rhododendron uwaense
絶滅危惧IB類（EN）,維管束植物,タカクマミツバツツジ,Rhododendron viscistylum
絶滅危惧IB類（EN）,維管束植物,チョウセンヤマツツジ,Rhododendron yedoense var. poukhanense
絶滅危惧IB類（EN）,維管束植物,オオツルコウジ,Ardisia walkeri
絶滅危惧IB類（EN）,維管束植物,トチナイソウ,Androsace chamaejasme subsp. lehmanniana
絶滅危惧IB類（EN）,維管束植物,サクラソウモドキ,Cortusa matthioli subsp. pekinensis var. sachalinensis
絶滅危惧IB類（EN）,維管束植物,トウサワトラノオ,Lysimachia candida
絶滅危惧IB類（EN）,維管束植物,サワトラノオ,Lysimachia leucantha
絶滅危惧IB類（EN）,維管束植物,オニコナスビ,Lysimachia tashiroi
絶滅危惧IB類（EN）,維管束植物,カムイコザクラ,Primula hidakana var. kamuiana
絶滅危惧IB類（EN）,維管束植物,ユウバリコザクラ,Primula yuparensis
絶滅危惧IB類（EN）,維管束植物,ホザキザクラ,Stimpsonia chamaedryoides
絶滅危惧IB類（EN）,維管束植物,ムニンノキ,Planchonella boninensis
絶滅危惧IB類（EN）,維管束植物,ヤワラケガキ,Diospyros eriantha
絶滅危惧IB類（EN）,維管束植物,コニシハイノキ,Symplocos konishii
絶滅危惧IB類（EN）,維管束植物,チチジマクロキ,Symplocos pergracilis
絶滅危惧IB類（EN）,維管束植物,ショウドシマレンギョウ,Forsythia togashii
絶滅危惧IB類（EN）,維管束植物,ヤナギバモクセイ,Osmanthus insularis var. okinawensis
絶滅危惧IB類（EN）,維管束植物,オオモクセイ,Osmanthus rigidus
絶滅危惧IB類（EN）,維管束植物,サンプクリンドウ,Comastoma pulmonarium subsp. sectum
絶滅危惧IB類（EN）,維管束植物,コヒナリンドウ,Gentiana laeviuscula
絶滅危惧IB類（EN）,維管束植物,ヤクシマリンドウ,Gentiana yakushimensis
絶滅危惧IB類（EN）,維管束植物,オノエリンドウ,Gentianella amarella subsp. takedae
絶滅危惧IB類（EN）,維管束植物,ユウバリリンドウ,Gentianella amarella subsp. yuparensis
絶滅危惧IB類（EN）,維管束植物,チチブリンドウ,Gentianopsis contorta
絶滅危惧IB類（EN）,維管束植物,アカイシリンドウ,Gentianopsis yabei var. akaisiensis
絶滅危惧IB類（EN）,維管束植物,ヒメセンブリ,Lomatogonium carinthiacum
絶滅危惧IB類（EN）,維管束植物,ハナヤマツルリンドウ,Tripterospermum distylum
絶滅危惧IB類（EN）,維管束植物,ナンゴクカモメヅル,Vincetoxicum austrokiusianum
絶滅危惧IB類（EN）,維管束植物,ヒメイヨカズラ,Vincetoxicum matsumurae
絶滅危惧IB類（EN）,維管束植物,コバンムグラ,Hedyotis chrysotricha
絶滅危惧IB類（EN）,維管束植物,ハハジマハナガサノキ,Morinda umbellata subsp. boninensis var. hahazimensis
絶滅危惧IB類（EN）,維管束植物,ヒジハリノキ,Randia sinensis
絶滅危惧IB類（EN）,維管束植物,ハクチョウゲ,Serissa japonica
絶滅危惧IB類（EN）,維管束植物,カラフトハナシノブ,Polemonium caeruleum subsp. laxiflorum var. laxiflorum
絶滅危惧IB類（EN）,維管束植物,マルバアサガオガラクサ,Evolvulus alsinoides var. rotundifolius
絶滅危惧IB類（EN）,維管束植物,ムラサキ,Lithospermum erythrorhizon
絶滅危惧IB類（EN）,維管束植物,ツルカメバソウ,Trigonotis iinumae
絶滅危惧IB類（EN）,維管束植物,チョウセンカメバソウ,Trigonotis radicans var. sericea
絶滅危惧IB類（EN）,維管束植物,ウラジロコムラサキ,Callicarpa parvifolia
絶滅危惧IB類（EN）,維管束植物,シマカコソウ,Ajuga boninsimae
絶滅危惧IB類（EN）,維管束植物,ヒイラギソウ,Ajuga incisa
絶滅危惧IB類（EN）,維管束植物,アマミタムラソウ,Salvia pygmaea var. simplicior
絶滅危惧IB類（EN）,維管束植物,ヒメタツナミソウ,Scutellaria kikai-insularis
絶滅危惧IB類（EN）,維管束植物,ムニンタツナミソウ,Scutellaria longituba
絶滅危惧IB類（EN）,維管束植物,ケミヤマナミキ,Scutellaria shikokiana var. pubicaulis
絶滅危惧IB類（EN）,維管束植物,エゾニガクサ,Teucrium veronicoides var. veronicoides
絶滅危惧IB類（EN）,維管束植物,ムニンホオズキ,Lycianthes boninensis
絶滅危惧IB類（EN）,維管束植物,ヤマホオズキ,Physalis chamaesarachoides
絶滅危惧IB類（EN）,維管束植物,イズコゴメグサ,Euphrasia insignis subsp. iinumae var. idzuensis
絶滅危惧IB類（EN）,維管束植物,ツクシコゴメグサ,Euphrasia multifolia var. multifolia
絶滅危惧IB類（EN）,維管束植物,カミガモソウ,Gratiola fluviatilis
絶滅危惧IB類（EN）,維管束植物,エナシシソクサ,Limnophila fragrans
絶滅危惧IB類（EN）,維管束植物,ヒメサギゴケ,Mazus goodenifolius
絶滅危惧IB類（EN）,維管束植物,ホソバママコナ,Melampyrum setaceum
絶滅危惧IB類（EN）,維管束植物,ウスユキクチナシグサ,Monochasma savatieri
絶滅危惧IB類（EN）,維管束植物,キバナシオガマ,Pedicularis oederi subsp. heteroglossa
絶滅危惧IB類（EN）,維管束植物,ツルウリクサ,Torenia concolor var. formosana
絶滅危惧IB類（EN）,維管束植物,ホソバヒメトラノオ,Veronica linariifolia
絶滅危惧IB類（EN）,維管束植物,イスミスズカケ,Veronicastrum sp.
絶滅危惧IB類（EN）,維管束植物,ユウバリソウ,Lagotis takedana
絶滅危惧IB類（EN）,維管束植物,ホソバウルップソウ,Lagotis yesoensis
絶滅危惧IB類（EN）,維管束植物,ヒシモドキ,Trapella sinensis
絶滅危惧IB類（EN）,維管束植物,フサタヌキモ,Utricularia dimorphantha
絶滅危惧IB類（EN）,維管束植物,ヒメミミカキグサ,Utricularia minutissima
絶滅危惧IB類（EN）,維管束植物,スルガヒョウタンボク,Lonicera alpigena subsp. glehnii var. watanabeana
絶滅危惧IB類（EN）,維管束植物,キタカミヒョウタンボク,Lonicera demissa var. borealis
絶滅危惧IB類（EN）,維管束植物,ツシマヒョウタンボク,Lonicera fragrantissima
絶滅危惧IB類（EN）,維管束植物,コゴメヒョウタンボク,Lonicera linderifolia var. konoi
絶滅危惧IB類（EN）,維管束植物,ヤブヒョウタンボク,Lonicera linderifolia var. linderifolia
絶滅危惧IB類（EN）,維管束植物,キンキヒョウタンボク,Lonicera ramosissima var. kinkiensis
絶滅危惧IB類（EN）,維管束植物,オオチョウジガマズミ,Viburnum carlesii var. carlesii
絶滅危惧IB類（EN）,維管束植物,トキワガマズミ,Viburnum japonicum var. boninsimense
絶滅危惧IB類（EN）,維管束植物,ヒロハガマズミ,Viburnum koreanum
絶滅危惧IB類（EN）,維管束植物,チシマキンレイカ,Patrinia sibirica
絶滅危惧IB類（EN）,維管束植物,オオキンレイカ,Patrinia triloba var. takeuchiana
絶滅危惧IB類（EN）,維管束植物,ホウオウシャジン,Adenophora takedae var. howozana
絶滅危惧IB類（EN）,維管束植物,シマシャジン,Adenophora tashiroi
絶滅危惧IB類（EN）,維管束植物,ヤツシロソウ,Campanula glomerata var. dahurica
絶滅危惧IB類（EN）,維管束植物,マルバハタケムシロ,Lobelia loochooensis
絶滅危惧IB類（EN）,維管束植物,ホソバエゾノコギリ,Achillea ptarmica subsp. macrocephala var. yezoensis
絶滅危惧IB類（EN）,維管束植物,オオウサギギク,Arnica sachalinensis
絶滅危惧IB類（EN）,維管束植物,ワタヨモギ,Artemisia gilvescens
絶滅危惧IB類（EN）,維管束植物,キタダケヨモギ,Artemisia kitadakensis
絶滅危惧IB類（EN）,維管束植物,オオバヨモギ,Artemisia koidzumii var. megaphylla
絶滅危惧IB類（EN）,維管束植物,ユキヨモギ,Artemisia momiyamae
絶滅危惧IB類（EN）,維管束植物,イソノギク,Aster asagrayi var. asagrayi
絶滅危惧IB類（EN）,維管束植物,ヨナクニイソノギク,Aster asagrayi var. walkeri
絶滅危惧IB類（EN）,維管束植物,シブカワシロギク,Aster rugulosus var. shibukawaensis
絶滅危惧IB類（EN）,維管束植物,クルマギク,Aster tenuipes
絶滅危惧IB類（EN）,維管束植物,チョウセンノギク,Chrysanthemum zawadskii var. alpinum
絶滅危惧IB類（EN）,維管束植物,アシノクラアザミ,Cirsium ashinokuraense
絶滅危惧IB類（EN）,維管束植物,ガンジュアザミ,Cirsium ganjuense
絶滅危惧IB類（EN）,維管束植物,ハッポウアザミ,Cirsium happoense
絶滅危惧IB類（EN）,維管束植物,カツラカワアザミ,Cirsium opacum
絶滅危惧IB類（EN）,維管束植物,ニセツクシアザミ,Cirsium pseudosuffultum
絶滅危惧IB類（EN）,維管束植物,タネガシマアザミ,Cirsium tanegashimense
絶滅危惧IB類（EN）,維管束植物,ウスバアザミ,Cirsium tenue
絶滅危惧IB類（EN）,維管束植物,ネバリイズハハコ,Conyza leucantha
絶滅危惧IB類（EN）,維管束植物,ユズリハワダン,Crepidiastrum ameristophyllum
絶滅危惧IB類（EN）,維管束植物,イワヤクシソウ,Crepidiastrum yoshinoi
絶滅危惧IB類（EN）,維管束植物,フタマタタンポポ,Crepis hokkaidoensis
絶滅危惧IB類（EN）,維管束植物,アポイアズマギク,Erigeron thunbergii subsp. glabratus var. angustifolius
絶滅危惧IB類（EN）,維管束植物,アキノハハコグサ,Gnaphalium hypoleucum
絶滅危惧IB類（EN）,維管束植物,エゾコウゾリナ,Hypochaeris crepidioides
絶滅危惧IB類（EN）,維管束植物,ホソバニガナ,Ixeridium beauverdianum
絶滅危惧IB類（EN）,維管束植物,エゾウスユキソウ,Leontopodium discolor
絶滅危惧IB類（EN）,維管束植物,ハヤチネウスユキソウ,Leontopodium hayachinense
絶滅危惧IB類（EN）,維管束植物,ヒメキクタビラコ,Myriactis japonensis
絶滅危惧IB類（EN）,維管束植物,ミヤマコウモリソウ,Parasenecio farfarifolius var. acerinus
絶滅危惧IB類（EN）,維管束植物,シマコウヤボウキ,Pertya yakushimensis
絶滅危惧IB類（EN）,維管束植物,ヒナヒゴタイ,Saussurea japonica
絶滅危惧IB類（EN）,維管束植物,ツクシトウヒレン,Saussurea nipponica subsp. higomontana
絶滅危惧IB類（EN）,維管束植物,ウスユキトウヒレン,Saussurea yanagisawae
絶滅危惧IB類（EN）,維管束植物,コウリンギク,Senecio argunensis
